Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
30A2L	5	1	1.333333333	1.333333333	1	1.166666667	1.166666667	1	1	1	1	1.5	3		
30A2L	5	8	1.333333333	1.5	0.833333333	1	0.666666667	0.5	1	1	1	1.5	2		
30A2L	15	1	1	1	1	1	0.666666667	0.833333333	1	1	1	1	1.166666667		
30A2L	15	6	0.666666667	0.833333333	0.833333333	1	0.833333333	0.833333333	1	1	1	1.166666667	1.166666667		
30A2L	25	2	1.5	2.166666667	0.833333333	0.833333333	0.833333333	1	1	1.166666667	1.333333333	1	1	1	
30A2L	25	2	X	N	X	X	X	X	X	X	X	X	X	X	
30A2L	25	8	1.166666667	2	0.5	0.833333333	1	1	0.833333333	1	1	1	1	1	
30A2L	25	8	X	N	X	X	X	X	X	X	X	X	X	X	
30A2L	35	1	0.666666667	1	1	1	1	0.666666667	0.833333333	0.833333333	1	1	0.5	2	
30A2L	35	1	X	X	X	X	X	O	X	X	X	X	X	X	
30A2L	35	8	0.833333333	1	1	1	0.833333333	0.833333333	0.666666667	1	0.833333333	1	1	1	
30A2L	35	8	X	X	X	X	X	O	O	X	X	X	X	X	
30A2L	45	2	1.166666667	1.333333333	1	1.166666667	1	0.833333333	1	1	1	1	1	1	0.666666667
30A2L	45	9	1.166666667	1	1	1	1	1	1	0.833333333	1	1	1	1	
30A2L	55	1	1	1.166666667	1	1	1	1	1	1	1	1	1		
30A2L	55	8	1	1.166666667	1	1	0.833333333	0.833333333	1	1	1	1	0.5	1	
30A2L	65	1	1	0.833333333	1	0.666666667	1	1	1.166666667	1	1	0.833333333			
30A2L	65	8	1	1.166666667	1	1	0.833333333	1	1	1	1	1			
